gate_mode,sampling_fps,frame_id,cls_pred,wall_ms,clip_ms,offload_ms,xfer_gate_ms,gate_comp_ms,mamba_ms,trans_ms
cpu,1,120,0,795.1930612325668,20.08652687072754,0.3390628844499588,0.0,774.12492595613,733.3248406648636,39.999911561608315
cpu,1,150,0,1004.566939547658,15.269054099917412,0.30787475407123566,0.0,988.3474837988615,939.9089645594358,47.44732938706875
cpu,1,180,0,1044.3374272435904,16.922015696763992,0.34072622656822205,0.0,1026.425052434206,977.9748916625977,47.51839488744736
cpu,1,210,0,1175.8661214262247,17.889318987727165,0.30714645981788635,0.0,1156.9771636277437,1108.9568380266428,43.02215948700905
cpu,1,240,0,1142.7499540150166,11.753905564546585,0.3545377403497696,0.0,1125.9045843034983,1084.432439878583,40.47716781497002
cpu,1,270,0,1148.2365317642689,14.791646972298622,0.3345627337694168,0.0,1132.4193682521582,1093.2312160730362,38.165003061294556
cpu,1,300,0,1141.937892884016,15.873312950134277,0.3331191837787628,0.0,1121.0489999502897,1076.6292084008455,43.49875822663307
cpu,1,330,0,1146.3756058365107,15.73672704398632,0.3342367708683014,0.0,1129.6047698706388,1085.027040913701,43.683040887117386
cpu,1,360,0,1154.8554748296738,15.70899412035942,0.30680373311042786,0.0,1138.1349451839924,1094.5593379437923,42.723523452878
cpu,1,390,0,1138.620164245367,15.936855226755142,4.337243735790253,0.0,1117.6186464726925,1078.3506147563457,38.421669974923134
cpu,1,420,0,1143.383575603366,15.151141211390495,0.33616647124290466,0.0,1126.6399007290602,1087.500961497426,38.35924528539181
cpu,1,450,0,1151.2111648917198,17.7789106965065,0.3306698054075241,0.0,1131.8413689732552,1087.3892363160849,43.66512969136238
cpu,1,480,0,1142.5178200006485,19.825084134936333,0.3323107957839966,0.0,1120.5827426165342,1080.6313082575798,39.175258949398994
cpu,1,510,0,1133.9942663908005,18.853694200515747,0.33527426421642303,0.0,1113.92767354846,1073.966022580862,39.19186815619469
