gate_mode,sampling_fps,n,avg_wall_ms,p50_wall_ms,p99_wall_ms,p50_clip_ms,p50_offload_ms,p50_xfer_gate_ms,p50_gate_comp_ms,p50_mamba_ms,p50_trans_ms,sustainable_fps_est
cpu,1,20,1578.5545420832932,1759.2854341492057,1867.7570364065468,14.679798856377602,0.4576975479722023,0.0,1741.403752937913,1678.917307406664,62.5867061316967,0.5684125955852083
cpu,32,20,1434.1650692746043,1606.2109163030982,1747.9885488934815,14.648347161710262,0.4519624635577202,0.0,1590.902698226273,1528.000632300973,59.063706547021866,0.6225832422441936
cpu,64,20,1471.5473401360214,1650.782777927816,1767.688319515437,14.758405275642872,0.4442064091563225,0.0,1628.810266032815,1564.482405781746,59.26303006708622,0.6057732206627898
