gate_mode,sampling_fps,frame_id,cls_pred,wall_ms,clip_ms,offload_ms,xfer_gate_ms,gate_comp_ms,mamba_ms,trans_ms
cpu,1,120,0,836.4656437188387,14.71702940762043,0.44839829206466675,0.0,820.4078115522861,758.7014529854059,60.607051476836205
cpu,1,150,0,1084.6177246421576,15.574544668197632,0.4565287381410599,0.0,1067.67756678164,1007.8498665243387,58.74836631119251
cpu,1,180,0,1107.5883600860834,11.4327073097229,4.484513774514198,0.0,1090.790718793869,1028.9018210023642,57.26989917457104
cpu,1,210,0,1208.2070503383875,14.68254067003727,0.451061874628067,0.0,1192.1864487230778,1129.6353284269571,61.324622482061386
cpu,1,240,0,1238.3806351572275,14.62380401790142,3.9647184312343597,0.0,1218.9370803534985,1154.4009149074554,63.25782649219036
cpu,1,270,0,1536.0585413873196,13.621686026453972,0.4503261297941208,0.0,1517.2774661332369,1449.737699702382,66.23156368732452
cpu,1,300,0,1557.7049050480127,14.780530706048012,3.2158400863409042,0.0,1538.8139840215445,1470.8488397300243,63.49708326160908
cpu,1,330,0,1548.1869913637638,14.651171863079071,0.4533175379037857,0.0,1532.1733243763447,1459.3124389648438,68.22223961353302
cpu,1,360,0,1557.5257744640112,14.554796740412712,3.918128088116646,0.0,1538.1407625973225,1463.3284322917461,73.34158942103386
cpu,1,390,0,1870.4640064388514,13.517700135707855,0.4588663578033447,0.0,1855.5725738406181,1783.0455899238586,71.03198580443859
cpu,1,420,0,1856.2167957425117,15.516981482505798,0.4590693861246109,0.0,1839.3153306096792,1764.9022415280342,68.90830397605896
cpu,1,450,0,1815.3583761304617,13.757608830928802,3.763766959309578,0.0,1796.9195395708084,1723.355457186699,71.9525869935751
cpu,1,480,0,1783.5272550582886,14.776082709431648,0.45438483357429504,0.0,1767.3291452229023,1696.059700101614,69.66208294034004
cpu,1,510,0,1790.0587804615498,15.703540295362473,0.44407881796360016,0.0,1772.9206923395395,1706.644220277667,60.9557181596756
cpu,1,540,0,1781.9234821945429,14.677057042717934,0.44622085988521576,0.0,1754.9915350973606,1691.8805409222841,57.7523410320282
cpu,1,570,0,1757.2659440338612,15.646923333406448,0.4445519298315048,0.0,1739.1411494463682,1678.5461697727442,55.287916213274
cpu,1,600,0,1823.3000114560127,11.541103944182396,3.991978242993355,0.0,1806.7946135997772,1748.2788916677237,56.96992203593254
cpu,1,630,0,1837.8406669944525,14.796502888202667,4.315514117479324,0.0,1810.230603441596,1746.2743762880564,62.377309426665306
cpu,1,660,0,1761.3049242645502,11.581066995859146,4.086378961801529,0.0,1743.6663564294577,1679.2884450405836,62.796102836728096
cpu,1,690,0,1819.0949726849794,16.500264406204224,0.4562400281429291,0.0,1801.116930320859,1739.708088338375,56.026458740234375
cpu,32,4,0,689.6887067705393,15.7899409532547,4.433808848261833,0.0,668.6151921749115,611.5388683974743,52.82122269272804
cpu,32,5,0,822.4790263921022,15.752598643302917,0.42269937694072723,0.0,805.4392542690039,748.1079753488302,56.28340132534504
cpu,32,6,0,1064.6371897310019,17.68903248012066,0.4486404359340668,0.0,1045.6187408417463,994.3202324211597,50.2172838896513
cpu,32,7,0,1082.1766685694456,15.769688412547112,0.4180539399385452,0.0,1065.1449598371983,1006.6473465412855,53.94251085817814
cpu,32,8,0,1143.0405881255865,14.643331989645958,0.4241112619638443,0.0,1127.0988546311855,1064.872732385993,61.00580282509327
