gate_mode,sampling_fps,n,avg_wall_ms,p50_wall_ms,p99_wall_ms,p50_clip_ms,p50_offload_ms,p50_xfer_gate_ms,p50_gate_comp_ms,sustainable_fps_est
cpu,1,10,1139.8723304271698,1167.0480677857995,1671.2690365500748,7.32490886002779,4.312051460146904,0.0,1139.0308067202568,0.856862735651725
cpu,32,10,1138.4803654626012,1195.1112113893032,1619.0815351717174,7.355686277151108,4.316383041441441,0.0,1167.3811404034495,0.8367422131681882
cpu,64,10,1082.6750982552767,1146.0725227370858,1621.8017239682376,7.392313331365585,4.263869486749172,0.0,1120.5186368897557,0.8725451314475013
gpu,1,10,542.6899056881666,58.99228993803263,4263.223948627711,7.354001514613628,0.0,0.0,50.45733321458101,16.951367730434463
gpu,32,10,45.16379926353693,45.39665952324867,60.03825234249234,7.337652146816254,0.0,0.0,37.51302883028984,22.028052515359132
gpu,64,10,45.086438581347466,45.205822214484215,60.18563129007816,7.2963424026966095,0.0,0.0,37.421226501464844,22.12104439236577
