gate_mode,sampling_fps,n,avg_wall_ms,p50_wall_ms,p99_wall_ms,p50_clip_ms,p50_offload_ms,p50_xfer_gate_ms,p50_gate_comp_ms,p50_mamba_ms,p50_trans_ms,sustainable_fps_est
cpu,1,10,1139.4910175353289,1178.094370290637,1667.9193126223981,7.321709766983986,4.293137229979038,0.0,1152.0349830389023,836.146439042607,297.70845812134064,0.8488284344770267
cpu,32,10,1093.5029717162251,1161.1208589747548,1617.0573492906988,7.3882220312952995,3.7459945306181908,0.0,1137.0451599359512,831.1310581398409,290.0300304313137,0.8612367888067904
cpu,64,10,1086.3981761038303,1153.5871997475624,1626.6510926745832,7.390076294541359,5.018120631575584,0.0,1124.0472001954913,823.2537091764283,283.7708985258665,0.8668612136289553
gpu,1,10,587.4666340649128,62.546130269765854,4404.235442150385,7.315537892282009,0.0,0.0,54.7292772680521,31.940053882069584,15.251366597071417,15.988199360806652
gpu,32,10,45.09781692177057,45.23729998618364,60.140802171081305,7.284962572157383,0.0,0.0,37.443000823259354,15.04472224479353,22.398278578465824,22.10565175873493
gpu,64,10,45.17459347844124,45.274777337908745,60.281557608395815,7.326966151595116,0.0,0.0,37.47225273400545,15.0835846828313,22.38866805117415,22.087353241662353
