gate_mode,sampling_fps,frame_id,cls_pred,wall_ms,clip_ms,offload_ms,xfer_gate_ms,gate_comp_ms,mamba_ms,trans_ms
gpu,1,120,0,44.013019651174545,7.340392097830772,0.0,0.0,36.15761920809746,26.762656554920827,9.39496265317663
gpu,1,150,0,4778.995167464018,7.3607489466667175,0.0,0.0,4771.114755421877,27.94864060092295,4743.166114820954
gpu,1,180,0,614.9982195347548,7.290087640285492,0.0,0.0,607.192374765873,21.5492255078162,585.6431492580567
gpu,1,210,0,55.03440275788307,9.820997714996338,0.0,0.0,44.661870226264,35.34325668307584,9.318613543188155
gpu,1,240,0,57.48297646641731,7.313676178455353,0.0,0.0,49.657516181468964,32.93102925743122,16.72648692403774
gpu,1,270,0,57.349683716893196,7.294580340385437,0.0,0.0,49.53756183385849,39.041804710134855,10.495757123723633
gpu,1,300,0,59.217723086476326,7.3173996061086655,0.0,0.0,51.378924399614334,38.22072234474703,13.158202054867305
gpu,1,330,0,69.07296739518642,8.747601881623268,0.0,0.0,59.82171185314655,30.688897939609433,29.132813913537117
gpu,1,360,0,65.87453745305538,7.291704416275024,0.0,0.0,58.07963013648987,44.30338386638478,13.776246270105094
gpu,1,390,0,72.62764312326908,7.281595841050148,0.0,0.0,64.85164724290371,30.949078506707952,33.90256873619576
gpu,32,4,0,29.05951999127865,7.282380014657974,0.0,0.0,21.296069025993347,8.754438007454693,12.541631018538654
gpu,32,5,0,33.583804965019226,7.285730913281441,0.0,0.0,25.817545130848885,10.616624729216126,15.20092040163276
gpu,32,6,0,35.620126873254776,7.282538339495659,0.0,0.0,27.8624240309,11.48954917733065,16.372874853569353
gpu,32,7,0,40.583061054348946,7.273737341165543,0.0,0.0,32.82853960990906,13.520598869914405,19.30794073999465
gpu,32,8,0,43.083975091576576,7.277730852365494,0.0,0.0,35.32616049051285,14.256409753313962,21.069750737198888
gpu,32,9,0,47.39062488079071,7.344378158450127,0.0,0.0,39.55984115600586,15.833034736273097,23.72680641973276
gpu,32,10,0,49.36162754893303,7.284194231033325,0.0,0.0,41.5971502661705,16.70820300578169,24.888947260388814
gpu,32,11,0,55.39410747587681,7.29796476662159,0.0,0.0,47.61476255953312,19.02247187662712,28.592290682906
gpu,32,12,0,56.38951249420643,7.327713072299957,0.0,0.0,48.58109913766384,19.22162160913245,29.359477528531393
gpu,32,13,0,60.51180884242058,7.321074604988098,0.0,0.0,52.70870961248875,20.965623308416788,31.743086304071962
gpu,64,4,0,29.10878323018551,7.3394495993852615,0.0,0.0,21.28973975777626,8.812339897827696,12.477399859948564
gpu,64,5,0,33.61520543694496,7.347628474235535,0.0,0.0,25.783784687519073,10.653925186386854,15.12985950113222
gpu,64,6,0,35.65450198948383,7.286667823791504,0.0,0.0,27.89141796529293,11.498263994798593,16.393153970494335
gpu,64,7,0,40.73435254395008,7.326951250433922,0.0,0.0,32.92264603078365,13.575764851595022,19.34688117918863
gpu,64,8,0,43.17302629351616,7.334565743803978,0.0,0.0,35.357389599084854,14.264725490038618,21.092664109046236
gpu,64,9,0,47.37652838230133,7.303131744265556,0.0,0.0,39.58711586892605,15.90244387562398,23.684671993302068
gpu,64,10,0,49.42324757575989,7.3269810527563095,0.0,0.0,41.61667637526989,16.6050664949113,25.011609880358595
gpu,64,11,0,55.524423718452454,7.319502532482147,0.0,0.0,47.728823497891426,18.99269504813879,28.736128449752638
gpu,64,12,0,56.478146463632584,7.325010374188423,0.0,0.0,48.663610592484474,19.421976249831168,29.24163434265331
gpu,64,13,0,60.657719150185585,7.356023415923119,0.0,0.0,52.77121067047119,20.8848835590274,31.886327111443794
cpu,1,120,0,667.117103934288,7.296692579984665,4.337910562753677,0.0,638.0836348980665,437.55753580435555,200.52609909371094
cpu,1,150,0,819.0834037959576,7.349228486418724,4.293596372008324,0.0,790.0423556566238,500.41851636106264,289.62383929556125
cpu,1,180,0,879.1047967970371,7.347822189331055,4.292678087949753,0.0,853.0814629048109,562.1603466530605,290.92111625175033
cpu,1,210,0,959.0363036841154,7.335757836699486,4.226142540574074,0.0,933.0602027475834,676.3234461079098,256.7367566396736
cpu,1,240,0,1068.078652024269,7.285028696060181,3.3498723059892654,0.0,1044.0338924527168,792.0203095241851,252.01358292853178
cpu,1,270,0,1288.110088557005,7.314126938581467,5.726136267185211,0.0,1260.0360736250877,880.272568561029,379.7635050640588
cpu,1,300,0,1331.1073761433363,7.328247651457787,1.3385359197854996,0.0,1306.0641791671515,911.7905490432814,394.27363012387
cpu,1,330,0,1313.0832556635141,7.306860759854317,8.272256702184677,0.0,1283.9941028505564,978.442019560784,305.55208328977227
cpu,1,360,0,1373.1132373213768,7.424484938383102,4.21978160738945,0.0,1346.0550960153341,1041.559296024403,304.495799990931
cpu,1,390,0,1697.0759574323893,7.315171882510185,8.258268237113953,0.0,1665.692314505577,1182.2756826278685,483.4166318777086
cpu,32,4,0,529.0935784578323,7.350830361247063,1.2931916862726212,0.0,506.040595471859,320.60256742185214,185.43802805000686
cpu,32,5,0,697.1009504050016,7.422221824526787,4.221899434924126,0.0,668.0583190172911,397.06460003669025,270.9937189806008
cpu,32,6,0,842.0989532023668,7.379155606031418,2.264810726046562,0.0,817.0687593519688,527.7917829921108,289.27697635985794
cpu,32,7,0,938.1009619683027,7.373524829745293,4.301851615309715,0.0,912.046866491437,665.8510701104605,246.19579638097653
cpu,32,8,0,1056.1049617826939,7.397288456559181,3.2462161034345627,0.0,1032.0447199046612,789.8099765657654,242.23474333889578
cpu,32,9,0,1266.1367561668158,7.454469799995422,2.184079959988594,0.0,1242.0455999672413,872.4521397139163,369.593460253325
cpu,32,10,0,1317.099155858159,7.3637086898088455,3.275033086538315,0.0,1291.0539209842682,910.4322489587054,380.6216720255628
