gate_mode,sampling_fps,frame_id,cls_pred,wall_ms,clip_ms,offload_ms,xfer_gate_ms,gate_comp_ms,mamba_ms,trans_ms
gpu,1,120,0,90.37087857723236,16.635488718748093,0.0,0.0,73.22634756565094,64.45709057152271,7.794026285409927
gpu,1,150,0,102.23238356411457,14.820875599980354,0.0,0.0,86.90962567925453,81.96442015469074,3.8608480244874954
gpu,1,180,0,90.12312814593315,15.720276162028313,0.0,0.0,73.89220409095287,64.89080376923084,7.820604369044304
gpu,1,210,0,105.55064119398594,15.769261866807938,0.0,0.0,89.23240005970001,80.90366423130035,7.027504965662956
gpu,1,240,0,99.14863668382168,14.704972505569458,0.0,0.0,79.89456504583359,68.0188313126564,10.460266843438148
gpu,1,270,0,105.54694011807442,15.744876116514206,0.0,0.0,89.30883556604385,79.53502051532269,8.196989074349403
gpu,1,300,0,4372.311795130372,14.74626362323761,0.0,0.0,4357.058014720678,67.57006049156189,4287.765197455883
gpu,1,330,0,111.03526689112186,14.544932171702385,0.0,0.0,95.99347412586212,86.77206002175808,7.408116012811661
gpu,1,360,0,98.53904880583286,15.520073473453522,0.0,0.0,82.51647651195526,72.59511388838291,8.005749434232712
gpu,1,390,0,109.75437983870506,15.765661373734474,0.0,0.0,93.48776191473007,83.4944061934948,7.990248501300812
gpu,32,4,0,36.664947867393494,15.675514936447144,0.0,0.0,20.51057107746601,12.222465127706528,7.300365716218948
gpu,32,5,0,38.08494098484516,14.693772420287132,0.0,0.0,22.910775616765022,13.92723061144352,7.894203066825867
gpu,32,6,0,36.07078082859516,14.702273532748222,0.0,0.0,20.879259333014488,12.60288991034031,7.057832553982735
gpu,32,7,0,38.88509422540665,14.923281967639923,0.0,0.0,23.489635437726974,14.669204130768776,7.476652041077614
gpu,32,8,0,38.145098835229874,14.68568667769432,0.0,0.0,22.98242226243019,13.711940497159958,7.859690114855766
gpu,32,9,0,42.97683387994766,17.847301438450813,0.0,0.0,24.65168572962284,14.97712917625904,4.050923511385918
gpu,32,10,0,45.74331268668175,18.796591088175774,0.0,0.0,26.46644413471222,16.976244747638702,7.809247821569443
gpu,32,11,0,41.41673073172569,11.541787534952164,0.0,0.0,29.383039101958275,20.261356607079506,7.332209497690201
gpu,32,12,0,50.48729665577412,14.70380462706089,0.0,0.0,35.309383645653725,25.503164157271385,7.90799967944622
gpu,32,13,0,49.146680161356926,13.825945556163788,0.0,0.0,34.82970595359802,21.802406758069992,6.938571110367775
gpu,64,4,0,31.112298369407654,10.461723431944847,0.0,0.0,20.16608603298664,11.842148378491402,7.337218150496483
gpu,64,5,0,38.015104830265045,14.796068891882896,0.0,0.0,22.699030116200447,9.991828352212906,11.577272787690163
gpu,64,6,0,35.72024591267109,15.663053840398788,0.0,0.0,19.56208236515522,10.466089472174644,3.82155179977417
gpu,64,7,0,34.045055508613586,15.62008447945118,0.0,0.0,17.93929748237133,12.76480220258236,3.846844658255577
gpu,64,8,0,35.63220426440239,11.509206146001816,0.0,0.0,23.64235185086727,18.18144880235195,4.0241628885269165
gpu,64,9,0,37.97922655940056,10.526865720748901,0.0,0.0,26.971712708473206,17.778053879737854,7.660344243049622
gpu,64,10,0,47.07775637507439,17.721766605973244,0.0,0.0,28.861792758107185,16.194287687540054,6.941789761185646
gpu,64,11,0,47.1199844032526,17.773360013961792,0.0,0.0,28.864596039056778,18.931569531559944,8.135572075843811
gpu,64,12,0,46.12848535180092,11.597961187362671,0.0,0.0,34.04550813138485,20.428568124771118,11.768346652388573
gpu,64,13,0,47.24157229065895,14.79046419262886,0.0,0.0,31.963806599378586,21.827712655067444,8.126242086291313
cpu,1,120,0,1345.6521555781364,14.79121670126915,0.43019652366638184,0.0,1329.6589311212301,919.1871099174023,45.30857503414154
cpu,1,150,0,1565.9260507673025,14.758488163352013,3.536321222782135,0.0,1546.8903612345457,1125.3793202340603,46.82185687124729
cpu,1,180,0,1615.5645791441202,17.824839800596237,0.4411265254020691,0.0,1596.5604465454817,1180.8963045477867,45.96887715160847
