k_requested,k_actual,xfer_k_bytes,rep,step_idx,wall_ms,gpu_ms,gpu_ratio,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
1024,,,0,17,322.4252,322.3883,0.999886,,,0,0
1024,,,0,18,332.2964,332.2582,0.999885,,,0,0
1024,,,0,19,327.0564,327.0179,0.999883,,,0,0
1024,,,0,20,338.4825,338.4458,0.999892,,,0,0
1024,,,0,21,328.0638,328.0266,0.999886,,,0,0
1024,,,0,22,336.8656,336.8288,0.999891,,,0,0
1024,,,0,23,331.7840,331.7459,0.999885,,,0,0
1024,,,0,24,333.7928,333.7561,0.999890,,,0,0
1024,,,0,25,335.8077,335.7702,0.999888,,,0,0
1024,,,0,26,346.4820,346.4458,0.999895,,,0,0
1024,,,0,27,342.9902,342.9503,0.999884,,,0,0
1024,,,0,28,340.8074,340.7687,0.999886,,,0,0
1024,,,0,29,342.2986,342.2525,0.999865,,,0,0
1024,,,0,30,339.1909,339.1533,0.999889,,,0,0
1024,,,0,31,334.0627,334.0248,0.999887,,,0,0
1024,,,1,16,333.7503,333.6960,0.999837,,,0,0
1024,,,1,17,341.7491,341.7110,0.999889,,,0,0
1024,,,1,18,339.1325,339.0950,0.999889,,,0,0
1024,,,1,19,335.0025,334.9588,0.999870,,,0,0
1024,,,1,20,341.2114,341.1731,0.999888,,,0,0
1024,,,1,21,339.7258,339.6859,0.999883,,,0,0
1024,,,1,22,337.2701,337.2318,0.999887,,,0,0
1024,,,1,23,350.2966,350.2592,0.999893,,,0,0
1024,,,1,24,333.8158,333.7772,0.999884,,,0,0
1024,,,1,25,340.9850,340.9473,0.999890,,,0,0
1024,,,1,26,336.7572,336.7206,0.999892,,,0,0
1024,,,1,27,337.0999,337.0612,0.999885,,,0,0
1024,,,1,28,335.5066,335.4701,0.999891,,,0,0
1024,,,1,29,353.3548,353.3169,0.999893,,,0,0
1024,,,1,30,346.8086,346.7707,0.999890,,,0,0
1024,,,1,31,365.6274,365.5909,0.999900,,,0,0
1024,,,2,16,319.7860,319.7330,0.999834,,,0,0
1024,,,2,17,327.8080,327.7707,0.999886,,,0,0
1024,,,2,18,324.5917,324.5535,0.999882,,,0,0
1024,,,2,19,335.8238,335.7839,0.999881,,,0,0
1024,,,2,20,334.4812,334.4420,0.999883,,,0,0
1024,,,2,21,338.4043,338.3676,0.999892,,,0,0
1024,,,2,22,338.8997,338.8628,0.999891,,,0,0
1024,,,2,23,335.1939,335.1575,0.999891,,,0,0
1024,,,2,24,343.9356,343.8965,0.999886,,,0,0
1024,,,2,25,342.1921,342.1529,0.999885,,,0,0
1024,,,2,26,342.8424,342.8026,0.999884,,,0,0
1024,,,2,27,338.2397,338.1968,0.999873,,,0,0
1024,,,2,28,332.7472,332.7108,0.999890,,,0,0
1024,,,2,29,347.7556,347.7188,0.999894,,,0,0
1024,,,2,30,342.3875,342.3512,0.999894,,,0,0
1024,,,2,31,357.3261,357.2881,0.999894,,,0,0
2048,,,0,16,332.0635,332.0110,0.999842,,,0,0
2048,,,0,17,323.1711,323.1351,0.999889,,,0,0
2048,,,0,18,334.2021,334.1526,0.999852,,,0,0
2048,,,0,19,339.2622,339.2088,0.999843,,,0,0
2048,,,0,20,351.3326,351.2894,0.999877,,,0,0
2048,,,0,21,338.4859,338.4499,0.999894,,,0,0
2048,,,0,22,334.5973,334.5604,0.999890,,,0,0
2048,,,0,23,331.9861,331.9472,0.999883,,,0,0
2048,,,0,24,344.9400,344.9042,0.999896,,,0,0
2048,,,0,25,342.0834,342.0472,0.999894,,,0,0
2048,,,0,26,338.7361,338.6984,0.999889,,,0,0
2048,,,0,27,349.4010,349.3588,0.999879,,,0,0
2048,,,0,28,349.7034,349.6677,0.999898,,,0,0
2048,,,0,29,351.4509,351.4118,0.999889,,,0,0
2048,,,0,30,336.8998,336.8558,0.999869,,,0,0
2048,,,0,31,347.5501,347.5128,0.999893,,,0,0
2048,,,1,16,341.4204,341.3545,0.999807,,,0,0
2048,,,1,17,362.4257,362.3864,0.999892,,,0,0
