K,step,ts0,ts1,gate_ms,gate_pred,xfer_gate_ms,xfer_gate_MB,xfer_k_ms,xfer_k_K,total_call_ms,gpu_util,mem_util,mem_used_MiB,mem_total_MiB,cuda_alloc_GiB,cuda_rsv_GiB
64,75,20.00,20.27,,1,,,,,86.29,0,0,21061,46068,18.20,20.05
64,76,20.27,20.53,,1,,,,,86.94,0,0,21061,46068,18.20,20.05
64,77,20.53,20.80,,1,,,,,86.87,0,0,21061,46068,18.20,20.05
64,78,20.80,21.07,,1,,,,,83.88,0,0,21061,46068,18.20,20.05
64,79,21.07,21.33,,1,,,,,87.10,0,0,21061,46068,18.20,20.05
64,80,21.33,21.60,,1,,,,,87.05,0,0,21061,46068,18.20,20.05
64,81,21.60,21.87,,1,,,,,87.01,0,0,21061,46068,18.20,20.05
64,82,21.87,22.13,,1,,,,,83.86,0,0,21061,46068,18.20,20.05
64,83,22.13,22.40,,1,,,,,84.90,0,0,21061,46068,18.20,20.05
64,84,22.40,22.67,,1,,,,,87.84,0,0,21061,46068,18.20,20.05
64,85,22.67,22.93,,1,,,,,86.94,0,0,21061,46068,18.20,20.05
64,86,22.93,23.20,,1,,,,,86.72,0,0,21061,46068,18.20,20.05
64,87,23.20,23.47,,1,,,,,84.46,0,0,21061,46068,18.20,20.05
64,88,23.47,23.73,,1,,,,,83.97,0,0,21061,46068,18.20,20.05
64,89,23.73,24.00,,1,,,,,83.76,0,0,21061,46068,18.20,20.05
64,90,24.00,24.27,,1,,,,,90.05,0,0,21061,46068,18.20,20.05
64,91,24.27,24.53,,1,,,,,83.57,0,0,21061,46068,18.20,20.05
64,92,24.53,24.80,,1,,,,,88.05,0,0,21061,46068,18.20,20.05
64,93,24.80,25.07,,1,,,,,86.93,0,0,21061,46068,18.20,20.05
64,94,25.07,25.33,,1,,,,,88.18,0,0,21061,46068,18.20,20.05
64,95,25.33,25.60,,1,,,,,86.56,0,0,21061,46068,18.20,20.05
64,96,25.60,25.87,,1,,,,,84.52,0,0,21061,46068,18.20,20.05
64,97,25.87,26.13,,1,,,,,89.88,0,0,21061,46068,18.20,20.05
64,98,26.13,26.40,,1,,,,,87.42,0,0,21061,46068,18.20,20.05
64,99,26.40,26.67,,1,,,,,86.62,0,0,21061,46068,18.20,20.05
64,100,26.67,26.93,,1,,,,,84.53,0,0,21061,46068,18.20,20.05
64,101,26.93,27.20,,1,,,,,83.41,0,0,21061,46068,18.20,20.05
64,102,27.20,27.47,,1,,,,,86.61,0,0,21061,46068,18.20,20.05
64,103,27.47,27.73,,1,,,,,89.73,0,0,21061,46068,18.20,20.05
64,104,27.73,28.00,,1,,,,,88.09,0,0,21061,46068,18.20,20.05
64,105,28.00,28.27,,1,,,,,86.49,0,0,21061,46068,18.20,20.05
64,106,28.27,28.53,,1,,,,,87.03,0,0,21061,46068,18.20,20.05
64,107,28.53,28.80,,1,,,,,86.76,0,0,21061,46068,18.20,20.05
64,108,28.80,29.07,,1,,,,,86.60,0,0,21061,46068,18.20,20.05
64,109,29.07,29.33,,1,,,,,86.40,0,0,21061,46068,18.20,20.05
64,110,29.33,29.60,,1,,,,,86.16,0,0,21061,46068,18.20,20.05
64,111,29.60,29.87,,1,,,,,89.64,0,0,21061,46068,18.20,20.05
64,112,29.87,30.13,,1,,,,,85.09,0,0,21061,46068,18.20,20.05
64,113,30.13,30.40,,1,,,,,83.39,0,0,21061,46068,18.20,20.05
64,114,30.40,30.67,,1,,,,,87.95,0,0,21061,46068,18.20,20.05
64,115,30.67,30.93,,1,,,,,84.60,0,0,21061,46068,18.20,20.05
64,116,30.93,31.20,,1,,,,,86.18,0,0,21061,46068,18.20,20.05
64,117,31.20,31.47,,1,,,,,87.43,0,0,21061,46068,18.20,20.05
64,118,31.47,31.73,,1,,,,,87.28,0,0,21061,46068,18.20,20.05
64,119,31.73,32.00,,1,,,,,84.26,0,0,21061,46068,18.20,20.05
64,120,32.00,32.27,,1,,,,,87.65,0,0,21061,46068,18.20,20.05
64,121,32.27,32.53,,1,,,,,85.10,0,0,21061,46068,18.20,20.05
64,122,32.53,32.80,,1,,,,,87.39,0,0,21061,46068,18.20,20.05
64,123,32.80,33.07,,1,,,,,87.84,0,0,21061,46068,18.20,20.05
64,124,33.07,33.33,,1,,,,,87.93,0,0,21061,46068,18.20,20.05
64,125,33.33,33.60,,1,,,,,91.05,0,0,21061,46068,18.20,20.05
64,126,33.60,33.87,,1,,,,,85.04,0,0,21061,46068,18.20,20.05
64,127,33.87,34.13,,1,,,,,87.59,0,0,21061,46068,18.20,20.05
64,128,34.13,34.40,,1,,,,,86.99,0,0,21061,46068,18.20,20.05
64,129,34.40,34.67,,1,,,,,84.12,0,0,21061,46068,18.20,20.05
64,130,34.67,34.93,,1,,,,,87.61,0,0,21061,46068,18.20,20.05
64,131,34.93,35.20,,1,,,,,87.31,0,0,21061,46068,18.20,20.05
64,132,35.20,35.47,,1,,,,,87.97,0,0,21061,46068,18.20,20.05
64,133,35.47,35.73,,1,,,,,87.53,0,0,21061,46068,18.20,20.05
64,134,35.73,36.00,,1,,,,,91.11,0,0,21061,46068,18.20,20.05
64,135,36.00,36.27,,1,,,,,84.82,0,0,21061,46068,18.20,20.05
64,136,36.27,36.53,,1,,,,,88.70,0,0,21061,46068,18.20,20.05
64,137,36.53,36.80,,1,,,,,87.61,0,0,21061,46068,18.20,20.05
64,138,36.80,37.07,,1,,,,,87.66,0,0,21061,46068,18.20,20.05
64,139,37.07,37.33,,1,,,,,86.86,0,0,21061,46068,18.20,20.05
64,140,37.33,37.60,,1,,,,,86.47,0,0,21061,46068,18.20,20.05
64,141,37.60,37.87,,1,,,,,90.45,0,0,21061,46068,18.20,20.05
64,142,37.87,38.13,,1,,,,,87.42,0,0,21061,46068,18.20,20.05
64,143,38.13,38.40,,1,,,,,87.35,0,0,21061,46068,18.20,20.05
64,144,38.40,38.67,,1,,,,,87.19,0,0,21061,46068,18.20,20.05
64,145,38.67,38.93,,1,,,,,89.64,0,0,21061,46068,18.20,20.05
