gate_mode,sampling_fps,n,avg_wall_ms,p50_wall_ms,p99_wall_ms,p50_clip_ms,p50_offload_ms,p50_xfer_gate_ms,p50_gate_comp_ms,p50_mamba_ms,p50_trans_ms,sustainable_fps_est
cpu,1,20,1113.7526084668934,1140.0153208523989,1173.7945815175772,14.852235093712807,0.32798852771520615,0.0,1121.7580465599895,1082.9675840213895,39.36880920082331,0.8771811937161439
cpu,32,20,1034.2454492114484,1074.3924202397466,1096.8317354097962,15.340943820774555,0.31647179275751114,0.0,1054.9244983121753,1015.6877115368843,38.7642253190279,0.9307586140423941
cpu,64,20,1066.2780121900141,1123.6536977812648,1132.7624551393092,15.24971891194582,0.3255726769566536,0.0,1104.417617432773,1063.4429696947336,39.460801519453526,0.8899539083745927
