k_actual,k_req_mean,k_avail_mean,wall_p50,wall_p90,xfer_ms_p50,xfer_ms_p90,xfer_bytes_mean,gpu_pct_p50,gpu_pct_p90,nvml_gpu_mean,n
64,64.0,32955.0,2076.7093,3071.9390000000003,0.059760175645351354,0.0829324126243591,524288.0,99.9984,99.99895000000001,36.770833333333336,96
128,128.0,32955.0,3261.2917500000003,3900.49055,0.06481911987066266,0.0843126326799392,1048576.0,99.9978,99.9983,42.489583333333336,96
256,256.0,32955.0,3295.6596,4011.8816,0.1060497015714645,0.11400785297155375,2097152.0,99.9985,99.9987,48.229166666666664,96
512,512.0,32955.0,3320.3383999999996,4064.40355,0.1835692673921585,0.1865318045020103,4194304.0,99.9988,99.999,65.22916666666667,96
1024,1024.0,32955.0,3532.5433000000003,4095.7337500000003,0.33663213253021235,0.3409450873732567,8388608.0,99.99895000000001,99.9991,92.01041666666667,96
2048,2048.0,32955.0,3735.08645,4468.668949999999,0.6548184901475906,0.6633857265114784,16777216.0,99.9991,100.00095,99.46875,96
4096,4096.0,32955.0,4112.71645,4862.40735,1.3008993119001389,1.3194810599088669,33554432.0,100.0002,100.0006,99.14583333333333,96
