k_requested,k_actual,k_avail,xfer_k_bytes,xfer_k_ms,rep,step_idx,wall_ms,gpu_ms,gpu_ratio_pct,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
64,64,38701,524288,0.06594695150852203,1,56,2343.7487,2343.7163,99.9986,57,51,1,36
64,64,39377,524288,0.057503581047058105,1,57,2383.2928,2383.2605,99.9986,62,56,1,36
64,64,40053,524288,0.05863793194293976,1,58,2332.7710,2332.7393,99.9986,6,0,1,36
64,64,40729,524288,0.061413273215293884,1,59,2467.5353,2467.5034,99.9987,12,3,1,36
64,64,41405,524288,0.06165541708469391,1,60,2520.0466,2520.0151,99.9988,5,0,1,36
64,64,42081,524288,0.057151541113853455,1,61,2565.4013,2565.3711,99.9988,17,10,1,36
64,64,42757,524288,0.05755573511123657,1,62,2614.2772,2614.2456,99.9988,96,92,1,36
64,64,43433,524288,0.0606682151556015,1,63,2651.6436,2651.6121,99.9988,73,68,1,36
64,64,22477,524288,0.08774735033512115,2,32,1371.2670,1371.2294,99.9973,50,46,1,36
64,64,23153,524288,0.09074248373508453,2,33,1600.9722,1600.9446,99.9983,48,44,1,36
64,64,23829,524288,0.07382407784461975,2,34,1877.4818,1877.4546,99.9986,21,11,1,36
64,64,24505,524288,0.07785297930240631,2,35,1493.8857,1493.8580,99.9981,62,36,1,36
64,64,25181,524288,0.06006844341754913,2,36,1805.5657,1805.5404,99.9986,66,27,1,36
64,64,25857,524288,0.07071532309055328,2,37,1642.4191,1642.3933,99.9984,83,55,1,36
64,64,26533,524288,0.07749907672405243,2,38,1626.6227,1626.5944,99.9983,22,13,1,36
64,64,27209,524288,0.05132891237735748,2,39,1650.3847,1650.3591,99.9985,82,81,1,36
64,64,27885,524288,0.06016343832015991,2,40,1761.8014,1761.7761,99.9986,18,11,1,36
64,64,28561,524288,0.0674370676279068,2,41,2412.6091,2412.5840,99.9990,15,2,1,36
64,64,29237,524288,0.054331496357917786,2,42,2083.2285,2083.2026,99.9988,57,26,1,36
64,64,29913,524288,0.05176849663257599,2,43,1841.1089,1841.0831,99.9986,30,23,1,36
64,64,30589,524288,0.04985928535461426,2,44,2118.5388,2118.5139,99.9988,39,10,1,36
64,64,31265,524288,0.04887022078037262,2,45,1976.9616,1976.9371,99.9988,26,10,1,36
64,64,31941,524288,0.051101669669151306,2,46,2134.1157,2134.0913,99.9989,10,4,1,36
64,64,32617,524288,0.05862116813659668,2,47,2700.2363,2700.2136,99.9992,53,48,1,36
64,64,33293,524288,0.05015917122364044,2,48,2781.7106,2781.6873,99.9992,59,54,1,36
64,64,33969,524288,0.05396455526351929,2,49,3035.3273,3035.3047,99.9993,41,34,1,36
64,64,34645,524288,0.054683536291122437,2,50,2613.8979,2613.8728,99.9990,36,26,1,36
64,64,35321,524288,0.059137120842933655,2,51,3067.7952,3067.7717,99.9992,6,0,1,36
64,64,35997,524288,0.05341880023479462,2,52,3296.4181,3296.3938,99.9993,44,37,1,36
64,64,36673,524288,0.05064718425273895,2,53,3319.4623,3319.4387,99.9993,13,2,1,36
64,64,37349,524288,0.058103352785110474,2,54,3076.0828,3076.0586,99.9992,43,34,1,36
64,64,38025,524288,0.06746873259544373,2,55,3097.4181,3097.3970,99.9993,7,1,1,36
64,64,38701,524288,0.06559863686561584,2,56,3687.0288,3686.9351,99.9975,33,5,1,36
64,64,39377,524288,0.08516386151313782,2,57,3262.3587,3262.2664,99.9972,20,12,1,36
64,64,40053,524288,0.06917864084243774,2,58,2953.6894,2953.6033,99.9971,28,3,1,36
64,64,40729,524288,0.054780393838882446,2,59,3120.1084,3120.0208,99.9972,7,0,1,36
