k_requested,n,wall_ms_mean,wall_ms_std,tok_per_s_mean,tok_per_s_std,gate_ms_mean,gate_ms_std,decode_gpu_ms_mean,decode_gpu_ms_std,decode_ratio_mean,decode_ratio_std,k_actual_mean,k_actual_std,k_avail_mean,xfer_k_bytes_mean,nvml_gpu_mean,nvml_mem_mean
64,96,2073.927803125,489.82307309463886,0.0,0.0,418.8170083333334,103.87259639067837,1651.0645375000001,408.353669261373,0.7905924479166666,0.047708915151400924,64.0,0.0,5577.0,524288.0,,
128,96,2569.94275,982.1127871850846,0.0,0.0,680.745328125,215.96999880332925,1885.8554041666666,825.9225215194244,0.71731103125,0.08075017415075933,128.0,0.0,5577.0,1048576.0,,
256,96,2729.1693250000003,915.7168603769993,0.0,0.0,620.8093458333334,194.1183585420975,2104.1352666666667,751.5058762373435,0.76780971875,0.03796747204833527,256.0,0.0,5577.0,2097152.0,,
512,96,2733.5619114583333,955.1633058677642,0.0,0.0,639.4946135416667,215.66286507972413,2089.5411125,786.510364939962,0.7594571354166667,0.046832103291746786,512.0,0.0,5577.0,4194304.0,,
1024,96,2514.330242708333,792.9767835627187,0.0,0.0,597.38636875,120.30930887955367,1913.0435197916668,742.1812530579593,0.7391140208333334,0.09160850958370044,1024.0,0.0,5577.0,8388608.0,,
2048,96,2014.9231385416667,396.41053880686025,0.0,0.0,554.6606145833333,79.1648070408203,1457.8009020833333,381.3247607088593,0.7155401145833333,0.05575478342072537,2048.0,0.0,5577.0,16777216.0,,
