gate_mode,sampling_fps,frame_id,cls_pred,wall_ms,clip_ms,offload_ms,xfer_gate_ms,gate_comp_ms,mamba_ms,trans_ms
gpu,64,2,0,23.73325079679489,14.760863035917282,0.0,0.0,8.419126272201538,0.7378160953521729,7.614389061927795
gpu,64,3,0,27.573740109801292,13.840403407812119,0.0,0.0,8.145056664943695,0.794682651758194,7.264759391546249
gpu,64,4,0,4665.1144456118345,4653.134638443589,0.0,0.0,11.374777182936668,4.996819421648979,6.302502006292343
gpu,64,5,0,23.991774767637253,11.75311952829361,0.0,0.0,11.702464893460274,4.826115444302559,6.806211546063423
gpu,64,6,0,27.19520963728428,10.550370439887047,0.0,0.0,12.062612920999527,4.850752651691437,7.141944020986557
gpu,64,7,0,27.86879800260067,14.718728139996529,0.0,0.0,8.53700377047062,0.7539205253124237,7.7122170478105545
gpu,64,8,0,24.206295609474182,11.427430436015129,0.0,0.0,8.226236328482628,0.8453000336885452,7.303271442651749
gpu,64,9,0,20.628061145544052,11.563856154680252,0.0,0.0,8.538410067558289,0.7444005459547043,7.728816941380501
gpu,64,10,0,26.00952982902527,13.81659135222435,0.0,0.0,11.362405493855476,0.7678009569644928,10.517055168747902
gpu,64,11,0,24.205897003412247,14.800459146499634,0.0,0.0,8.586188778281212,0.7772501558065414,7.7377799898386
cpu,64,2,0,56.82783201336861,11.656951159238815,0.3341306000947952,0.0,44.1507026553154,11.697756126523018,32.32846222817898
cpu,64,3,0,53.241534158587456,11.700401082634926,0.336967408657074,0.0,40.46975448727608,11.490577831864357,28.84128876030445
cpu,64,4,0,59.8343089222908,12.398000806570053,0.3039427101612091,0.0,42.36229881644249,5.6009441614151,36.63371875882149
cpu,64,5,0,56.9342914968729,21.954700350761414,0.3535710275173187,0.0,33.901795744895935,3.481578081846237,30.293187126517296
cpu,64,6,0,56.55665136873722,14.478025957942009,0.36074593663215637,0.0,33.96087698638439,3.5628508776426315,30.258014798164368
cpu,64,7,0,61.03784032166004,14.65853862464428,0.3362223505973816,0.0,45.318279415369034,7.684187963604927,37.47970424592495
cpu,64,8,0,61.20185740292072,11.62763312458992,0.3138110041618347,0.0,48.248348757624626,10.963454842567444,37.15488128364086
cpu,64,9,0,60.531288385391235,19.02843825519085,0.34731626510620117,0.0,40.41099175810814,7.699770852923393,32.59281441569328
cpu,64,10,0,59.92748774588108,14.28300142288208,0.34310482442379,0.0,40.52891209721565,7.652537897229195,32.75537118315697
cpu,64,11,0,57.24010430276394,11.688271537423134,0.3206226974725723,0.0,44.471101835370064,11.670326814055443,32.680848613381386
